Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole
36,Yes,Travel_Rarely,Sales,9,4,Male,1,Sales Representative,Single,3407,No,23,4,10,5,3
34,No,Travel_Rarely,Research & Development,7,4,Female,3,Research Director,Single,11994,No,11,3,13,12,6
21,No,Travel_Rarely,Research & Development,15,2,Male,1,Research Scientist,Single,1232,No,14,3,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,1,Male,1,Research Scientist,Single,2960,No,11,3,8,4,2
53,No,Travel_Rarely,Research & Development,5,3,Female,5,Manager,Divorced,19094,No,11,3,26,14,13
32,Yes,Travel_Frequently,Research & Development,16,1,Female,1,Research Scientist,Single,3919,Yes,22,4,10,10,2
42,No,Travel_Rarely,Sales,8,4,Male,2,Sales Executive,Married,6825,No,11,3,10,9,7
44,No,Travel_Rarely,Research & Development,7,4,Female,3,Healthcare Representative,Married,10248,No,14,3,24,22,6
46,No,Travel_Rarely,Sales,2,4,Female,5,Manager,Single,18947,No,12,3,22,2,2
33,No,Travel_Rarely,Research & Development,2,3,Male,1,Laboratory Technician,Single,2496,No,11,3,7,1,1
44,No,Travel_Rarely,Research & Development,10,4,Male,2,Healthcare Representative,Married,6465,Yes,13,3,9,4,2
30,No,Travel_Rarely,Research & Development,9,2,Male,1,Laboratory Technician,Single,2206,No,13,3,10,10,0
39,Yes,Travel_Rarely,Sales,5,3,Male,2,Sales Representative,Married,2086,No,14,3,19,1,0
24,Yes,Travel_Rarely,Research & Development,1,3,Male,1,Research Scientist,Married,2293,Yes,16,3,6,2,0
43,No,Travel_Rarely,Research & Development,2,2,Female,1,Research Scientist,Divorced,2645,No,12,3,6,5,3
50,Yes,Travel_Rarely,Sales,3,2,Male,1,Sales Representative,Married,2683,Yes,14,3,3,3,2
35,No,Travel_Rarely,Sales,2,3,Female,1,Sales Representative,Married,2014,No,13,3,2,2,2
36,No,Travel_Rarely,Research & Development,5,4,Female,1,Research Scientist,Married,3419,Yes,14,3,6,1,1
33,No,Travel_Frequently,Sales,1,3,Female,2,Sales Executive,Married,5376,No,19,3,10,5,3
35,No,Travel_Rarely,Research & Development,4,2,Male,1,Laboratory Technician,Divorced,1951,No,12,3,1,1,0
27,No,Travel_Rarely,Research & Development,2,4,Female,1,Laboratory Technician,Divorced,2341,No,13,3,1,1,0
26,Yes,Travel_Rarely,Research & Development,25,3,Male,1,Laboratory Technician,Single,2293,No,12,3,1,1,0
27,No,Travel_Frequently,Sales,8,3,Male,3,Sales Executive,Single,8726,No,15,3,9,9,8
30,No,Travel_Frequently,Research & Development,1,2,Female,2,Laboratory Technician,Single,4011,No,23,4,12,12,8
41,Yes,Travel_Rarely,Research & Development,12,3,Female,5,Research Director,Married,19545,No,12,3,23,22,15
34,No,Non-Travel,Sales,23,4,Male,2,Sales Executive,Single,4568,No,20,4,10,9,5
37,No,Travel_Rarely,Research & Development,19,2,Male,1,Research Scientist,Married,3022,No,21,4,8,1,0
46,No,Travel_Frequently,Sales,5,4,Male,2,Sales Executive,Single,5772,Yes,21,4,14,9,6
35,No,Travel_Rarely,Research & Development,8,1,Male,1,Laboratory Technician,Married,2269,No,19,3,1,1,0
48,Yes,Travel_Rarely,Research & Development,1,2,Male,3,Laboratory Technician,Single,5381,Yes,13,3,23,1,0
28,Yes,Travel_Rarely,Research & Development,5,4,Male,1,Laboratory Technician,Single,3441,Yes,13,3,2,2,2
44,No,Travel_Rarely,Sales,1,5,Female,2,Sales Executive,Divorced,5454,Yes,21,4,9,4,3
35,No,Non-Travel,Research & Development,11,2,Male,3,Healthcare Representative,Married,9884,Yes,13,3,10,4,0
26,No,Travel_Rarely,Sales,23,3,Female,2,Sales Executive,Married,4157,Yes,19,3,5,2,2
33,No,Travel_Frequently,Research & Development,1,2,Female,3,Research Director,Single,13458,Yes,12,3,15,15,14
35,No,Travel_Frequently,Sales,18,5,Male,3,Sales Executive,Married,9069,No,22,4,9,9,8
35,No,Travel_Rarely,Research & Development,23,4,Female,1,Laboratory Technician,Married,4014,Yes,15,3,4,2,2
31,No,Travel_Rarely,Research & Development,7,4,Male,2,Laboratory Technician,Divorced,5915,No,22,4,10,7,7
37,No,Travel_Rarely,Research & Development,1,4,Male,2,Manufacturing Director,Divorced,5993,No,18,3,7,7,5
32,No,Travel_Rarely,Research & Development,1,3,Male,2,Manufacturing Director,Married,6162,Yes,22,4,9,9,8
38,No,Travel_Frequently,Research & Development,29,5,Female,2,Laboratory Technician,Single,2406,No,11,3,10,10,3
50,No,Travel_Rarely,Research & Development,7,2,Female,5,Research Director,Divorced,18740,Yes,12,3,29,27,3
59,No,Travel_Rarely,Sales,25,3,Female,3,Sales Executive,Single,7637,No,11,3,28,21,16
36,No,Travel_Rarely,Research & Development,8,3,Female,3,Healthcare Representative,Divorced,10096,No,13,3,17,17,14
55,No,Travel_Rarely,Research & Development,8,3,Female,4,Manager,Divorced,14756,Yes,14,3,21,5,0
36,No,Travel_Frequently,Research & Development,11,3,Male,2,Manufacturing Director,Single,6499,No,13,3,6,6,5
45,No,Travel_Rarely,Research & Development,7,3,Male,3,Research Scientist,Divorced,9724,No,17,3,25,1,0
35,No,Travel_Frequently,Research & Development,1,3,Male,1,Research Scientist,Married,2194,No,13,3,5,3,2
36,Yes,Travel_Rarely,Research & Development,9,3,Male,1,Research Scientist,Married,3388,Yes,17,3,2,1,0
59,No,Travel_Frequently,Sales,1,1,Female,2,Sales Executive,Single,5473,No,11,3,20,4,3
29,No,Travel_Rarely,Research & Development,2,3,Male,1,Research Scientist,Married,2703,No,23,4,6,5,4
31,No,Travel_Rarely,Research & Development,1,4,Male,1,Research Scientist,Single,2501,No,17,3,1,1,1
32,No,Travel_Rarely,Research & Development,1,3,Male,2,Research Scientist,Married,6220,No,17,3,10,10,4
36,No,Travel_Rarely,Research & Development,6,3,Female,1,Laboratory Technician,Married,3038,No,12,3,5,1,0
31,No,Travel_Rarely,Research & Development,8,4,Female,2,Manufacturing Director,Single,4424,No,23,4,11,11,7
35,No,Travel_Rarely,Sales,1,4,Male,2,Sales Executive,Single,4312,No,14,3,16,15,13
45,No,Travel_Rarely,Research & Development,6,4,Male,3,Research Director,Married,13245,Yes,14,3,17,0,0
37,No,Travel_Rarely,Research & Development,7,4,Male,3,Research Director,Single,13664,No,13,3,16,5,2
46,No,Travel_Rarely,Human Resources,5,2,Male,2,Human Resources,Divorced,5021,Yes,22,4,16,4,2
30,No,Travel_Rarely,Research & Development,1,1,Male,2,Laboratory Technician,Married,5126,Yes,12,3,10,10,8
35,No,Travel_Rarely,Research & Development,1,3,Male,1,Research Scientist,Single,2859,No,18,3,6,6,4
55,No,Travel_Rarely,Sales,1,2,Male,3,Sales Executive,Married,10239,No,14,3,24,1,0
38,No,Non-Travel,Research & Development,6,3,Female,2,Research Scientist,Divorced,5329,Yes,12,3,17,13,11
34,No,Travel_Rarely,Research & Development,1,2,Male,2,Manufacturing Director,Married,4325,No,15,3,5,5,2
56,No,Travel_Rarely,Research & Development,7,3,Male,3,Manufacturing Director,Single,7260,No,11,3,37,6,4
23,No,Travel_Rarely,Sales,2,1,Male,1,Sales Representative,Divorced,2322,No,13,3,3,0,0
51,No,Travel_Rarely,Research & Development,9,4,Male,1,Laboratory Technician,Married,2075,No,23,4,10,4,2
30,No,Travel_Rarely,Research & Development,2,3,Male,2,Healthcare Representative,Married,4152,No,19,3,11,11,10
46,Yes,Travel_Rarely,Sales,9,2,Male,3,Sales Executive,Single,9619,No,16,3,9,9,8
40,No,Travel_Frequently,Research & Development,1,4,Male,4,Healthcare Representative,Married,13503,No,22,4,22,22,3
51,No,Travel_Rarely,Sales,21,4,Male,2,Sales Executive,Single,5441,Yes,22,4,11,10,7
30,No,Travel_Rarely,Sales,4,2,Female,2,Sales Executive,Divorced,5209,Yes,12,3,11,11,8
46,No,Travel_Frequently,Research & Development,1,3,Male,3,Healthcare Representative,Married,10673,Yes,13,3,21,10,9
32,No,Travel_Rarely,Sales,6,4,Male,2,Sales Executive,Single,5010,No,16,3,12,11,8
54,No,Travel_Rarely,Research & Development,2,4,Female,3,Research Director,Married,13549,No,12,3,16,4,3
24,No,Travel_Rarely,Sales,3,2,Female,2,Sales Executive,Married,4999,No,21,4,4,3,2
28,No,Non-Travel,Sales,4,3,Male,2,Sales Executive,Married,4221,No,15,3,5,5,4
58,No,Travel_Rarely,Sales,10,4,Male,4,Sales Executive,Single,13872,No,13,3,38,37,10
44,No,Non-Travel,Research & Development,23,3,Male,2,Laboratory Technician,Married,2042,No,12,3,17,3,2
37,Yes,Travel_Rarely,Human Resources,6,4,Male,1,Human Resources,Divorced,2073,Yes,22,4,7,3,2
32,No,Travel_Rarely,Research & Development,1,1,Male,1,Research Scientist,Single,2956,No,13,3,1,1,0
20,Yes,Travel_Frequently,Research & Development,6,3,Female,1,Laboratory Technician,Single,2926,Yes,18,3,1,1,0
34,No,Travel_Rarely,Research & Development,6,4,Female,2,Research Scientist,Single,4809,No,14,3,16,16,13
37,No,Non-Travel,Research & Development,2,2,Male,2,Healthcare Representative,Divorced,5163,No,14,3,17,1,0
59,No,Non-Travel,Human Resources,2,4,Female,5,Manager,Married,18844,No,21,4,30,3,2
50,No,Travel_Frequently,Research & Development,1,3,Female,5,Research Director,Married,18172,Yes,19,3,28,8,3
25,Yes,Travel_Rarely,Sales,5,3,Male,2,Sales Executive,Single,5744,Yes,11,3,6,6,4
25,No,Travel_Rarely,Research & Development,7,1,Male,1,Research Scientist,Married,2889,No,11,3,2,2,2
22,No,Travel_Rarely,Research & Development,15,3,Female,1,Laboratory Technician,Single,2871,No,15,3,1,0,0
51,No,Travel_Frequently,Research & Development,1,4,Female,3,Healthcare Representative,Single,7484,No,20,4,23,13,12
34,Yes,Travel_Frequently,Research & Development,7,3,Male,2,Laboratory Technician,Single,6074,Yes,24,4,9,9,7
54,No,Non-Travel,Human Resources,26,3,Female,4,Manager,Single,17328,Yes,12,3,23,5,3
24,No,Travel_Rarely,Research & Development,18,1,Male,1,Laboratory Technician,Married,2774,No,12,3,6,5,3
34,No,Travel_Rarely,Research & Development,6,4,Female,2,Research Scientist,Divorced,4505,No,15,3,12,1,0
37,No,Travel_Rarely,Sales,3,3,Male,3,Sales Executive,Single,7428,No,12,3,12,5,3
34,No,Travel_Rarely,Research & Development,5,3,Female,3,Manager,Single,11631,No,12,3,14,11,10
36,No,Travel_Frequently,Sales,11,2,Female,3,Sales Executive,Married,9738,No,14,3,10,9,7
36,No,Travel_Rarely,Research & Development,3,2,Female,1,Laboratory Technician,Divorced,2835,No,22,4,7,1,0
43,No,Travel_Frequently,Sales,26,2,Male,4,Manager,Married,16959,Yes,12,3,25,25,12
30,No,Travel_Frequently,Research & Development,23,3,Male,1,Research Scientist,Divorced,2613,No,25,4,10,10,7
33,No,Non-Travel,Sales,22,2,Male,2,Sales Executive,Married,6146,No,13,3,8,7,7
56,Yes,Travel_Rarely,Research & Development,14,4,Female,1,Research Scientist,Married,4963,Yes,18,3,7,5,4
51,No,Travel_Rarely,Research & Development,6,3,Male,5,Research Director,Single,19537,No,13,3,23,20,18
31,Yes,Travel_Rarely,Sales,6,4,Male,2,Sales Executive,Married,6172,Yes,18,3,12,7,7
26,No,Travel_Rarely,Research & Development,6,3,Female,1,Research Scientist,Married,2368,No,19,3,5,5,4
58,Yes,Travel_Rarely,Research & Development,23,4,Female,3,Healthcare Representative,Married,10312,No,12,3,40,40,10
19,Yes,Travel_Rarely,Sales,22,1,Male,1,Sales Representative,Single,1675,Yes,19,3,0,0,0
22,No,Travel_Rarely,Research & Development,2,1,Male,1,Laboratory Technician,Married,2523,No,14,3,3,2,1
49,No,Travel_Rarely,Research & Development,20,4,Female,2,Manufacturing Director,Married,6567,No,14,3,16,15,11
43,No,Travel_Frequently,Research & Development,28,3,Female,1,Research Scientist,Single,4739,No,12,3,18,3,2
50,No,Travel_Frequently,Sales,12,3,Female,3,Sales Executive,Single,9208,No,11,3,16,2,2
31,Yes,Travel_Rarely,Sales,20,3,Female,2,Sales Executive,Married,4559,Yes,11,3,4,2,2
41,No,Travel_Rarely,Sales,9,1,Male,3,Sales Executive,Divorced,8189,Yes,13,3,12,9,7
26,No,Travel_Rarely,Human Resources,25,1,Female,1,Human Resources,Married,2942,No,23,4,8,8,7
36,No,Travel_Rarely,Research & Development,6,2,Male,2,Manufacturing Director,Divorced,4941,No,20,4,7,3,2
51,Yes,Travel_Frequently,Research & Development,8,4,Male,3,Manufacturing Director,Single,10650,No,15,3,18,4,2
39,No,Travel_Rarely,Sales,4,4,Female,2,Sales Executive,Married,5902,No,14,3,17,15,11
25,No,Travel_Rarely,Sales,28,3,Male,2,Sales Executive,Married,8639,No,18,3,6,2,2
30,No,Travel_Rarely,Human Resources,9,3,Male,2,Human Resources,Married,6347,Yes,19,3,12,11,9
32,Yes,Travel_Rarely,Research & Development,9,3,Female,1,Laboratory Technician,Single,4200,No,22,4,10,5,4
45,No,Travel_Rarely,Research & Development,29,3,Male,1,Research Scientist,Single,3452,No,13,3,9,6,5
38,No,Travel_Rarely,Research & Development,3,5,Female,2,Research Scientist,Single,4317,Yes,20,4,19,3,2
30,No,Travel_Rarely,Research & Development,18,3,Female,1,Research Scientist,Single,2632,No,14,3,5,5,4
32,No,Travel_Frequently,Sales,9,2,Male,2,Sales Executive,Divorced,4668,No,17,3,9,8,7
30,No,Travel_Rarely,Research & Development,5,3,Female,1,Research Scientist,Divorced,3204,No,14,3,8,3,2
30,No,Travel_Rarely,Research & Development,2,1,Male,1,Laboratory Technician,Single,2720,No,13,3,6,5,3
41,No,Travel_Frequently,Research & Development,10,3,Male,4,Manager,Divorced,17181,No,13,3,21,7,6
41,No,Travel_Rarely,Research & Development,9,4,Male,1,Laboratory Technician,Married,2238,No,21,4,7,5,0
19,No,Travel_Rarely,Research & Development,3,1,Female,1,Laboratory Technician,Single,1483,No,14,3,1,1,0
40,No,Travel_Frequently,Research & Development,26,3,Female,2,Research Scientist,Divorced,5605,No,11,3,20,20,7
35,No,Travel_Rarely,Sales,1,5,Male,3,Sales Executive,Married,7295,No,13,3,10,10,8
53,No,Travel_Rarely,Sales,6,2,Male,2,Sales Representative,Married,2306,Yes,20,4,13,7,7
45,No,Travel_Rarely,Research & Development,9,3,Male,2,Laboratory Technician,Divorced,2348,No,18,3,20,17,9
32,No,Travel_Frequently,Sales,8,3,Female,3,Sales Executive,Single,8998,No,14,3,9,9,8
29,No,Non-Travel,Research & Development,1,1,Male,2,Manufacturing Director,Married,4319,No,13,3,10,10,7
51,No,Travel_Rarely,Research & Development,7,4,Male,2,Manufacturing Director,Married,6132,No,17,3,10,1,0
58,No,Travel_Rarely,Research & Development,9,3,Female,1,Research Scientist,Married,3346,Yes,20,4,9,1,0
40,No,Travel_Rarely,Sales,4,4,Male,3,Sales Executive,Married,10855,No,11,3,15,12,11
34,No,Travel_Frequently,Sales,2,4,Female,1,Sales Representative,Married,2231,No,18,3,6,4,3
22,No,Travel_Rarely,Research & Development,19,1,Male,1,Research Scientist,Married,2323,No,24,4,2,2,2
27,No,Non-Travel,Research & Development,9,3,Male,1,Research Scientist,Divorced,2024,No,18,3,6,2,2
28,No,Travel_Rarely,Research & Development,21,3,Male,1,Research Scientist,Married,2713,No,11,3,5,5,2
57,No,Travel_Rarely,Research & Development,24,2,Male,3,Healthcare Representative,Divorced,9439,Yes,16,3,12,5,3
27,No,Non-Travel,Research & Development,3,3,Male,1,Research Scientist,Divorced,2566,Yes,15,3,1,1,1
50,No,Travel_Rarely,Research & Development,11,3,Female,5,Manager,Single,19926,No,15,3,21,5,4
41,No,Travel_Rarely,Research & Development,14,3,Male,1,Research Scientist,Divorced,2451,No,12,3,13,9,8
30,No,Travel_Rarely,Sales,5,3,Female,3,Sales Executive,Married,9419,No,12,3,12,10,9
38,No,Travel_Rarely,Sales,1,4,Female,2,Sales Executive,Single,8686,No,22,4,12,8,3
32,No,Travel_Rarely,Research & Development,6,5,Male,1,Research Scientist,Single,3038,No,20,4,8,5,4
27,No,Travel_Rarely,Research & Development,17,3,Male,1,Research Scientist,Married,3058,Yes,16,3,6,5,2
19,Yes,Travel_Frequently,Sales,1,1,Female,1,Sales Representative,Single,2325,No,21,4,1,0,0
36,No,Travel_Frequently,Research & Development,3,2,Male,1,Laboratory Technician,Single,2088,No,12,3,13,8,7
30,No,Non-Travel,Research & Development,9,3,Male,2,Laboratory Technician,Divorced,3072,No,11,3,12,12,9
45,No,Travel_Rarely,Sales,4,2,Female,2,Sales Executive,Divorced,5006,Yes,11,3,9,5,4
56,No,Travel_Rarely,Research & Development,8,3,Female,1,Research Scientist,Divorced,4257,Yes,18,3,19,2,2
33,No,Travel_Rarely,Research & Development,2,3,Male,1,Research Scientist,Single,2500,No,14,3,4,3,1
19,Yes,Travel_Rarely,Research & Development,2,3,Male,1,Laboratory Technician,Single,1102,No,22,4,1,1,0
46,No,Travel_Rarely,Sales,1,2,Female,3,Sales Executive,Divorced,10453,No,25,4,24,24,13
38,No,Travel_Rarely,Research & Development,9,2,Female,1,Laboratory Technician,Single,2288,No,12,3,2,2,2
31,No,Travel_Rarely,Research & Development,12,1,Female,1,Research Scientist,Married,3929,Yes,23,4,7,4,2
34,No,Travel_Rarely,Research & Development,27,2,Female,1,Research Scientist,Single,2311,No,15,3,9,3,2
41,Yes,Travel_Rarely,Sales,20,2,Female,1,Sales Representative,Single,3140,Yes,22,4,4,4,3
50,No,Travel_Rarely,Research & Development,1,3,Male,1,Laboratory Technician,Married,3690,No,15,3,5,3,2
53,No,Travel_Rarely,Research & Development,13,2,Female,2,Manufacturing Director,Divorced,4450,No,11,3,5,4,2
33,No,Travel_Rarely,Research & Development,14,3,Female,1,Research Scientist,Married,2756,No,13,3,8,8,7
40,No,Travel_Rarely,Research & Development,4,1,Female,5,Manager,Married,19033,No,14,3,21,20,8
55,No,Travel_Rarely,Research & Development,14,4,Male,5,Research Director,Single,18722,No,11,3,36,24,15
34,No,Travel_Frequently,Research & Development,2,1,Male,2,Manufacturing Director,Married,9547,No,17,3,10,10,9
51,No,Travel_Rarely,Research & Development,3,3,Female,4,Healthcare Representative,Single,13734,No,18,3,21,7,7
52,No,Travel_Rarely,Research & Development,1,4,Male,5,Manager,Married,19999,No,14,3,34,33,18
27,No,Travel_Rarely,Research & Development,9,3,Female,1,Research Scientist,Single,2279,No,16,3,7,7,7
35,Yes,Travel_Rarely,Research & Development,23,2,Male,2,Manufacturing Director,Married,5916,Yes,13,3,8,1,0
43,No,Non-Travel,Research & Development,7,3,Male,1,Research Scientist,Divorced,2089,No,14,3,7,5,4
45,No,Non-Travel,Research & Development,2,2,Male,4,Manager,Married,16792,No,23,4,22,20,8
37,No,Travel_Rarely,Research & Development,21,3,Male,1,Research Scientist,Married,3564,Yes,12,3,8,8,7
35,No,Travel_Frequently,Research & Development,2,3,Female,2,Laboratory Technician,Single,4425,No,11,3,10,6,2
42,No,Non-Travel,Research & Development,21,2,Female,2,Manufacturing Director,Divorced,5265,No,16,3,11,5,3
38,No,Travel_Rarely,Research & Development,2,4,Male,2,Manufacturing Director,Married,6553,No,14,3,14,1,0
38,No,Travel_Rarely,Research & Development,29,3,Male,2,Manufacturing Director,Married,6261,No,18,3,9,7,7
27,No,Travel_Frequently,Research & Development,1,1,Male,2,Manufacturing Director,Married,4298,No,19,3,6,2,2
49,No,Non-Travel,Research & Development,18,4,Male,2,Manufacturing Director,Divorced,6804,Yes,15,3,7,7,7
34,No,Travel_Frequently,Research & Development,10,4,Male,1,Research Scientist,Divorced,3815,Yes,17,3,5,5,3
40,No,Travel_Rarely,Research & Development,19,2,Male,2,Laboratory Technician,Married,2741,Yes,15,3,15,7,2
38,Yes,Travel_Rarely,Research & Development,29,1,Male,2,Healthcare Representative,Married,6673,Yes,19,3,17,1,0
29,Yes,Travel_Rarely,Sales,27,3,Female,3,Sales Executive,Married,7639,No,22,4,10,10,4
22,No,Travel_Rarely,Research & Development,5,3,Male,1,Research Scientist,Divorced,2328,Yes,16,3,4,4,2
36,No,Travel_Frequently,Research & Development,18,1,Female,1,Laboratory Technician,Single,2153,No,13,3,8,8,1
40,No,Non-Travel,Research & Development,9,5,Male,2,Healthcare Representative,Married,4876,No,14,3,5,3,2
46,No,Travel_Rarely,Research & Development,1,4,Male,3,Healthcare Representative,Divorced,9396,No,16,3,17,4,2
32,Yes,Travel_Rarely,Sales,4,4,Male,3,Sales Executive,Married,10400,No,11,3,14,14,8
30,No,Non-Travel,Research & Development,1,1,Male,3,Manufacturing Director,Single,8474,No,22,4,12,11,8
27,No,Travel_Frequently,Sales,20,3,Female,2,Sales Executive,Single,9981,No,14,3,7,7,7
51,No,Travel_Rarely,Research & Development,8,4,Male,3,Research Director,Married,12490,No,16,3,16,10,9
30,Yes,Travel_Rarely,Research & Development,3,3,Female,1,Research Scientist,Single,2657,Yes,11,3,8,5,2
41,No,Travel_Rarely,Sales,6,3,Female,3,Manager,Single,13591,Yes,18,3,16,1,0
30,Yes,Travel_Frequently,Sales,26,4,Female,2,Sales Executive,Single,6696,No,15,3,9,6,3
29,Yes,Travel_Rarely,Research & Development,1,3,Male,1,Research Scientist,Single,2058,No,14,3,7,6,2
45,No,Non-Travel,Sales,6,3,Female,3,Sales Executive,Single,8865,No,12,3,23,19,7
54,No,Travel_Rarely,Sales,3,3,Female,2,Sales Executive,Married,5940,No,14,3,16,6,2
36,No,Travel_Rarely,Research & Development,5,2,Male,2,Laboratory Technician,Single,5914,No,16,3,16,13,11
33,No,Travel_Rarely,Research & Development,4,4,Female,1,Research Scientist,Married,2622,No,21,4,7,3,2
37,No,Travel_Frequently,Research & Development,11,3,Male,3,Research Director,Divorced,12185,Yes,14,3,10,10,8
38,No,Travel_Rarely,Sales,3,3,Male,3,Sales Executive,Divorced,10609,No,12,3,17,16,10
31,No,Non-Travel,Research & Development,1,4,Male,2,Manufacturing Director,Married,4345,No,12,3,6,5,4
59,No,Travel_Rarely,Research & Development,3,3,Male,1,Research Scientist,Married,2177,No,17,3,7,1,0
37,No,Travel_Frequently,Sales,4,4,Male,1,Sales Representative,Divorced,2793,No,17,3,13,9,8
29,No,Travel_Frequently,Sales,1,1,Female,3,Sales Executive,Married,7918,No,14,3,11,11,10
35,No,Travel_Frequently,Sales,1,3,Female,3,Sales Executive,Single,8789,No,14,3,10,10,7
29,Yes,Travel_Rarely,Research & Development,18,1,Male,1,Research Scientist,Single,2389,Yes,13,3,4,4,3
52,No,Travel_Rarely,Research & Development,2,3,Female,1,Laboratory Technician,Single,3212,No,15,3,6,2,2
42,No,Travel_Rarely,Research & Development,4,2,Male,5,Manager,Married,19232,No,11,3,22,22,17
59,No,Travel_Rarely,Human Resources,6,2,Male,1,Human Resources,Married,2267,No,17,3,7,2,2
50,No,Travel_Rarely,Sales,1,4,Female,5,Manager,Divorced,19517,No,11,3,32,7,0
33,Yes,Travel_Rarely,Research & Development,14,3,Male,1,Laboratory Technician,Married,2436,Yes,13,3,8,5,4
43,No,Travel_Rarely,Sales,16,3,Female,4,Manager,Married,16064,Yes,22,4,22,17,13
33,Yes,Travel_Rarely,Research & Development,2,2,Female,1,Laboratory Technician,Married,2707,No,20,4,13,9,7
52,No,Non-Travel,Sales,2,4,Male,5,Manager,Single,19068,Yes,18,3,33,33,7
32,No,Travel_Rarely,Sales,4,2,Female,1,Sales Representative,Married,3931,No,11,3,6,4,3
32,Yes,Travel_Rarely,Research & Development,1,3,Male,1,Laboratory Technician,Single,3730,Yes,14,3,4,3,2
39,No,Travel_Rarely,Research & Development,1,4,Female,1,Laboratory Technician,Divorced,2232,No,14,3,7,3,2
32,No,Non-Travel,Sales,26,4,Male,2,Sales Executive,Married,4465,No,18,3,4,3,2
41,No,Travel_Rarely,Research & Development,19,2,Male,2,Research Scientist,Divorced,3072,No,16,3,17,1,0
40,No,Travel_Rarely,Research & Development,24,2,Male,2,Research Scientist,Divorced,3319,No,17,3,9,9,8
45,No,Travel_Rarely,Research & Development,1,3,Male,5,Manager,Married,19202,No,11,3,25,24,0
31,No,Travel_Frequently,Research & Development,3,4,Male,3,Research Director,Divorced,13675,No,12,3,9,2,2
33,No,Travel_Rarely,Research & Development,5,4,Female,1,Research Scientist,Married,2911,No,13,3,2,2,2
34,No,Travel_Rarely,Research & Development,2,4,Male,2,Manufacturing Director,Married,5957,No,13,3,13,11,9
37,No,Travel_Rarely,Research & Development,1,2,Female,1,Research Scientist,Married,3920,No,14,3,17,3,1
45,No,Travel_Frequently,Research & Development,7,4,Male,2,Manufacturing Director,Married,6434,No,17,3,9,3,2
37,Yes,Travel_Frequently,Research & Development,10,3,Male,3,Manufacturing Director,Divorced,10048,No,11,3,17,1,0
39,No,Travel_Frequently,Research & Development,2,4,Female,3,Healthcare Representative,Single,10938,No,25,4,20,19,6
29,No,Travel_Rarely,Research & Development,15,3,Male,1,Research Scientist,Single,2340,No,19,3,6,6,5
42,No,Travel_Rarely,Research & Development,17,2,Female,2,Research Scientist,Single,6545,Yes,13,3,10,3,2
